Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
768,Who was the editor of Physical Review when it was founded by Ernest Merritt and co-founder?,When was Physical Review founded,date,When Physical Review was founded by Ernest Merritt and co-founder,date,intermediate_question_different
769,In which Olympic sport did André Lange win the European Championships in Cesana and the World Championships in Altenberg for two-man?,When did André Lange win the European Championships in Cesana and the World Championships in Altenberg for two-man,date,When André Lange win the European Championships in Cesana and the World Championships in Altenberg for two-man,time interval,intermediate_question_and_answer_type_different
770,Who was Wacław Sierpiński's doctoral student after he started working at the University of Warsaw?,When did Wacław Sierpiński start working at the University of Warsaw,date,When Wacław Sierpiński started working at the University of Warsaw,date,intermediate_question_different
771,Who did Luise Rainer marry after the new constitution preventing divorce had been enacted?,When was the new constitution preventing divorce enacted,date,When the new constitution preventing divorce had been enacted,date,intermediate_question_different
772,"Who is the highest-grossing actor and second highest grossing person in film behind Samuel L Jackson, who is widely known for his cameo work?",When did Samuel L Jackson become the highest grossing person in film,time interval,When Samuel L Jackson became the highest-grossing person in film,date,intermediate_question_and_answer_type_different
773,What was Robert Taylor's employer after the University of Utah?,When did Robert Taylor work at the University of Utah,time interval,When Robert Taylor left the University of Utah,date,intermediate_question_and_answer_type_different
774,"When Everton Weekes played in 48 Test matches for the West Indies cricket team, which national sports team was he a member of?",When did Everton Weekes play in 48 Test matches for the West Indies cricket team,time interval,When Everton Weekes played in 48 Test matches for the West Indies cricket team,time interval,intermediate_question_different
775,Which team was Brendon Bolton the head coach of in the Tasmanian Football League when his playing career ended due to a hamstring injury?,When did Brendon Bolton's playing career end due to a hamstring injury,date,When Brendon Bolton's playing career ended due to a hamstring injury,time interval,intermediate_question_and_answer_type_different
776,Which educational institution did Chrisostomos I of Athens attend before the National and Kapodistrian University of Athens?,When did Chrisostomos I of Athens attend the National and Kapodistrian University of Athens,time interval,When Chrisostomos I of Athens attended the National and Kapodistrian University of Athens,time interval,intermediate_question_different
777,"During Regenburg's time as a UNESCO World Heritage Site, who was in charge as head of government?",When was Regensburg a UNESCO World Heritage Site,time interval,When Regenburg became a UNESCO World Heritage Site,date,intermediate_question_and_answer_type_different
778,In which sport season did Brandi Chastain score the game-winning penalty kick against China in the final of the FIFA Women's World Cup USA Team competition?,When did Brandi Chastain score the game-winning penalty kick against China in the final of the FIFA Women's World Cup USA Team competition,date,When Brandi Chastain scored the game-winning penalty kick against China in the final of the FIFA Women's World Cup USA Team competition,time interval,intermediate_question_and_answer_type_different
779,What season was Bronte Barratt competing in the 200 m freestyle at the Pan Pacific Championships Gold Coast when she won the 400 m freestyle at the Commonwealth Games Glasgow?,When did Bronte Barratt win the 400 m freestyle at the Commonwealth Games Glasgow,date,When Bronte Barratt won the 400 m freestyle at the Commonwealth Games Glasgow,time interval,intermediate_question_and_answer_type_different
780,"After completing his studies at Aberystwyth University, which football club did Leigh Richmond Roose join for his senior career?",When did Leigh Richmond Roose complete his studies at Aberystwyth University,date,When Leigh Richmond Roose completed his studies at Aberystwyth University,time interval,intermediate_question_and_answer_type_different
781,"When Hitler announced that the Polish government had totally collapsed, who was the Generalgouvernement (German) of the General Government?",When did Hitler announce that the Polish government had totally collapsed,date,When Hitler announced that the Polish government had totally collapsed,date,intermediate_question_different
782,What was Miley Cyrus' first single prior to the release of her third album Can't Be Tamed?,When was Miley Cyrus' third album Can't Be Tamed released,date,When Can't Be Tamed by Miley Cyrus was released,date,intermediate_question_different
783,What organization was the parent company of the Norwegian State Railways (1883–1996) before it ceased operations?,When did the Norwegian State Railways (1883–1996) cease operations,date,When Norwegian State Railways ceased operations,date,intermediate_question_different
784,"What country was the tropical depression near during the above-average Pacific typhoon season which saw 29 storms, 13 typhoons and 7 super typhoons form?","When was the above-average Pacific typhoon season which saw 29 storms, 13 typhoons and 7 super typhoons form",time interval,During the above-average Pacific typhoon season,time interval,intermediate_question_different
785,"During David Ragan's last racing season with the NASCAR series, in which other TV or radio media was he involved with, along with Fox's Race Hub?",When was David Ragan's last racing season with the NASCAR series,time interval,When was David Ragan's last racing season with the NASCAR series,date,answer_type_different
786,"What crime was Bridget Anne Kelly convicted of as part of the ""Bridgegate"" affair?","When was the ""Bridgegate"" affair",time interval,When Bridget Anne Kelly was convicted of 'Bridgegate' affair,date,intermediate_question_and_answer_type_different
787,In which city did Chaim Walder commit suicide at the age of 53?,When did Chaim Walder commit suicide,date,When Chaim Walder committed suicide,date,intermediate_question_different
788,"After playing for the Denver Nuggets, what basketball team did Brooks Thompson join?",When did Brooks Thompson play for the Denver Nuggets,time interval,When Brooks Thompson played for the Denver Nuggets,time interval,intermediate_question_different
789,"At the time of its founding as Charleston, what lake was Lake Charles Louisiana situated close to?",When was Lake Charles Louisiana founded as Charleston,date,When Charleston was founded as Lake Charles Louisiana,date,intermediate_question_different
790,Who was the head of government from the Socialists' Party of Catalonia in Badalona while Xavier García Albiol (PP) was mayor?,When was Xavier García Albiol mayor of Badalona,time interval,When Xavier García Albiol (PP) was mayor of Badalona,time interval,intermediate_question_different
791,"After Al Quie served as a Member of the U S House of Representatives from Minnesota's 1st district, what position did he hold?",When did Al Quie serve as a Member of the U S House of Representatives from Minnesota's 1st district,time interval,When Al Quie served as a Member of the U S House of Representatives from Minnesota's 1st district,date,intermediate_question_and_answer_type_different
792,What accolade did Igor Krasnov receive while he was a senior investigator for the Investigative Committee of the Russian Federation?,When Igor Krasnov was a senior investigator for the Investigative Committee of the Russian Federation,time interval,When Igor Krasnov was senior investigator for the Investigative Committee of the Russian Federation,time interval,intermediate_question_different
793,"After Harold Hunter finished his basketball career, what middle school did he coach?",When Harold Hunter finished his basketball career,date,When Harold Hunter finished his basketball career,time interval,answer_type_different
794,At which Olympic Games did Lindsay Davenport win the International Tennis Federation (ITF) Women's Doubles World Championship?,When Lindsay Davenport won the International Tennis Federation (ITF) Women's Doubles World Championship,date,When Lindsay Davenport won the International Tennis Federation (ITF) Women's Doubles World Championship,time interval,answer_type_different
795,"After Chris Welp's professional basketball career, which team was he part of?",When Chris Welp's professional basketball career ended,date,When Chris Welp's professional basketball career ended,time interval,answer_type_different
801,"What political party was the Union for French Democracy absorbed into, when led by François Bayrou?",When the Union for French Democracy was led by François Bayrou,time interval,When François Bayrou led the Union for French Democracy,date,intermediate_question_and_answer_type_different
803,"During the time of Queen's international success with Sheer Heart Attack and A Night at the Opera, who was part of the band?",When Queen had international success with Sheer Heart Attack and A Night at the Opera,time interval,When Queen achieved international success with Sheer Heart Attack and A Night at the Opera,time interval,intermediate_question_different
808,"During Saquon Barkley's rookie season, which Pro Bowl season did he participate in?",When Saquon Barkley's rookie season occurred,time interval,When Saquon Barkley participated in the Pro Bowl season,date,intermediate_question_and_answer_type_different
809,"When William S. Paley was married to Babe Paley, which position was he promoted to at CBS?",When William S. Paley was married to Babe Paley,time interval,When William S. Paley was married to Babe Paley,date,answer_type_different
810,What team was Darryl Dawkins playing for before the Sioux Falls Skyforce?,When Darryl Dawkins played for the Sioux Falls Skyforce,time interval,When Darryl Dawkins joined Sioux Falls Skyforce,time interval,intermediate_question_different
811,"After being founded, what multi-purpose stadium were the Sydney Swans Club originally playing in?",When the Sydney Swans Club was founded,date,When Sydney Swans Club was founded,date,intermediate_question_different
812,"After his senior career with Kocaelispor, which football club did Georges Mandjeck join for his first match of 31 (0)?",When Georges Mandjeck's senior career with Kocaelispor ended,date,When Georges Mandjeck joined for his first match of 31 (0) with Kocaelispor,time interval,intermediate_question_and_answer_type_different
813,What season was Scott Pruett racing the No. in NASCAR Cup Series when he had his career-best finish of 37th?,When Scott Pruett had his career-best finish of 37th in the NASCAR Cup Series,date,When Scott Pruett had his career-best finish of 37th in NASCAR Cup Series,time interval,intermediate_question_and_answer_type_different
814,In which season was Nouchka Fontijn the Middleweight European Champion in Sofia when she was also a Middleweight world champion in New Delhi?,When Nouchka Fontijn was the Middleweight European Champion in Sofia and a Middleweight world champion in New Delhi,time interval,When Nouchka Fontijn was the Middleweight European Champion in Sofia and also Middleweight World Champion in New Delhi,time interval,intermediate_question_different
816,What was the last major battle fought by the Hellenic State ( 1941-1944 ) during its existence?,When the Hellenic State (1941-1944) existed,time interval,When was the last major battle fought by the Hellenic State (1941-1944),date,intermediate_question_and_answer_type_different
817,"During Laura Chinchilla's tenure as Minister of Public Security, what was the general election in which she became First-Vice President of Costa Rica?",When Laura Chinchilla was Minister of Public Security,time interval,When Laura Chinchilla became First-Vice President of Costa Rica in the General Election,date,intermediate_question_and_answer_type_different
819,"In which city of the United States was U.S. Bancorp Founded 160 years ago, which traces its roots to the founding of the First National Bank?",When U.S. Bancorp was founded 160 years ago,date,When U.S. Bancorp was founded,date,intermediate_question_different
820,"During Antonio Decaro's term as mayor of Bari, what city was the capital of Italy?",When Antonio Decaro's term as mayor of Bari occurred,time interval,When Antonio Decaro's term as mayor of Bari began,date,intermediate_question_and_answer_type_different
824,"When Keisuke Honda was at the start of his senior career, which football club was he playing for?",When Keisuke Honda was at the start of his senior career,date,When Keisuke Honda was at the start of his senior career,time interval,answer_type_different
825,Who was the mayor of Molenbeek while Ahmed El Khannouss was serving as schepen?,When Ahmed El Khannouss was serving as schepen,time interval,When Ahmed El Khannouss was serving as schepen of Molenbeek,time interval,intermediate_question_different
827,"During Jarome Iginla's career with the Calgary Flames, what season did he play?",When Jarome Iginla's career with the Calgary Flames,time interval,When Jarome Iginla played for the Calgary Flames,time interval,intermediate_question_different
829,"During the US Justice Department's case against Chinese tech firm Huawei, what occupation generated over $2.2 billion from the False Claims Act?",When the US Justice Department's case against Chinese tech firm Huawei,time interval,When the US Justice Department's case against Chinese tech firm Huawei generated over $2.2 billion from the False Claims Act,date,intermediate_question_and_answer_type_different
830,Who was the leader of the Ballangen administration before Fagerfjellet's location there?,When Fagerfjellet's location in Ballangen,date,When Fagerfjellet's location in Ballangen became the administration,date,intermediate_question_different
835,"During Kristina Mladenovic's highest ranking, which edition of a tennis tournament did she reach the tenth position in singles?",When Kristina Mladenovic's highest ranking,date,When Kristina Mladenovic reached the tenth position in singles in a tennis tournament,date,intermediate_question_different
836,"During the merger of the New York Stock Exchange (NYSE) with Euronext, what business made up NYX, the previous trading room at 30 Broad Street having been closed?",When the merger of the New York Stock Exchange (NYSE) with Euronext,date,When the New York Stock Exchange (NYSE) merged with Euronext,date,intermediate_question_different
839,Which United States federal agency is operating the Deep Space Climate Observatory now?,When the Deep Space Climate Observatory is now operating,time interval,When the Deep Space Climate Observatory began operating,date,intermediate_question_and_answer_type_different
840,Who was Dave Tollner's chief minister when he was Deputy Chief Minister of the Northern Territory?,When Dave Tollner was Deputy Chief Minister of the Northern Territory,time interval,When Dave Tollner was the Deputy Chief Minister of the Northern Territory,time interval,intermediate_question_different
841,"Before Freddy Ternero moved to Alianza Atlético, which association football club was he managing?",When Freddy Ternero moved to Alianza Atlético,date,When Freddy Ternero moved to Alianza Atlético,time interval,answer_type_different
842,"When Alec Kessler was planning his honeymoon with his fiancé, what NBA draft was he a part of?",When Alec Kessler was planning his honeymoon with his fiancé,date,When Alec Kessler planned his honeymoon with his fiancée,time interval,intermediate_question_and_answer_type_different
844,What political office did Hernando Cevallos hold when he was elected Congressman of the Republic by the Broad Front for Piura in the general elections?,When Hernando Cevallos was elected Congressman of the Republic by the Broad Front for Piura in the general elections,date,When Hernando Cevallos was elected Congressman of the Republic by the Broad Front for Piura,time interval,intermediate_question_and_answer_type_different
845,What team did Michael Andersen play for during his basketball career?,When Michael Andersen's basketball career,time interval,When Michael Andersen played basketball,time interval,intermediate_question_different
846,"During England's cricket tour, which day-night Test match was hosted at Eden Park?",When England's cricket tour,time interval,When England's cricket tour hosted the day-night Test match at Eden Park,time interval,intermediate_question_different
847,"At the Mediterranean Games in Almeria ‍–‍63 kg, what event did Urška Žolnir win the World Championship title?",When the Mediterranean Games in Almeria ‍–‍63 kg,date,When Urška Žolnir won the World Championship at the Mediterranean Games in Almeria ‍–‍63 kg,date,intermediate_question_different
848,Which literary award was Salman Rushdie shortlisted for after his marriage to Padma Lakshmi?,When Salman Rushdie's marriage to Padma Lakshmi,date,When Salman Rushdie was married to Padma Lakshmi,date,intermediate_question_different
854,Which football club did Jimmy McAlinden sign for during his senior career for a fee of £7.500?,When Jimmy McAlinden's senior career,time interval,When Jimmy McAlinden signed for a football club during his senior career,time interval,intermediate_question_different
855,Where is the headquarters of the Polish National Radio Symphony Orchestra located after moving from Centrum Kultury Katowice?,When Polish National Radio Symphony Orchestra moved from Centrum Kultury Katowice,date,When the Polish National Radio Symphony Orchestra moved from Centrum Kultury Katowice,date,intermediate_question_different
856,In what district did Celtic F.C. open their first stadium for their friendly 5-2 win against Rangers?,When Celtic F.C. opened their first stadium,date,When Celtic F.C. opened their first stadium for their friendly 5-2 win against Rangers,date,intermediate_question_different
858,Who was the head of government in Saskatchewan at the time of the tragic Humboldt Broncos bus crash?,When the tragic Humboldt Broncos bus crash occurred,date,When the Humboldt Broncos bus crash occurred,date,intermediate_question_different
859,Who was Ratan Devi married to when she was photographed playing the tanpura in Manhattan?,When Ratan Devi was photographed playing the tanpura in Manhattan,date,When Ratan Devi was photographed playing the tanpura in Manhattan,time interval,answer_type_different
860,"During Dmitry Rogozin's tenure in the Congress of Russian Communities, which elections led to his appointment as Chairman of the Foreign Affairs Committee and drew a lot of media attention?",When Dmitry Rogozin was in the Congress of Russian Communities,time interval,When Dmitry Rogozin was appointed as Chairman of the Foreign Affairs Committee and his tenure in the Congress of Russian Communities drew a lot of media attention?,time interval,intermediate_question_different
861,What was the previous coat of arms before the Almelo coat of arms?,When the Almelo coat of arms was adopted,date,When Almelo adopted their coat of arms,date,intermediate_question_different
862,"During Nihat Erim's time as Minister of Public Works, which Turkish general election did he serve as Member of the Grand National Assembly?",When Nihat Erim was Minister of Public Works,time interval,When Nihat Erim served as Minister of Public Works,time interval,intermediate_question_different
863,"During the period when the Brazil national football team was considered to be the greatest team of all time, which nonprofit organization did they belong to?",When the Brazil national football team was considered to be the greatest team of all time,time interval,When Brazil national football team was considered to be the greatest team of all time,time interval,intermediate_question_different
864,"When the show Elisabeth Sladen starred in earned the Royal Television Society Award for Best Children's Drama, who was the actress playing the lead role?",When the show Elisabeth Sladen starred in earned the Royal Television Society Award for Best Children's Drama,date,When Elisabeth Sladen starred in a show that earned the Royal Television Society Award for Best Children's Drama,date,intermediate_question_different
865,"What Olympic sport did Marion Laborde's team, the France women's national basketball team, win a silver and bronze medal in after her membership?",When Marion Laborde was a member of the France women's national basketball team,time interval,When Marion Laborde joined the France women's national basketball team,time interval,intermediate_question_different
868,"At the time of the dissolution of the municipality, what did Kawaguchi replace Aoki as?",When the municipality was dissolved,date,"When the municipality dissolved, when did Kawaguchi replace Aoki as?",date,intermediate_question_different
869,Who was Cass Sunstein married to during the co-authorship of Cass R Sunstein and Richard Thaler?,When Cass Sunstein co-authored with Richard Thaler,time interval,When Cass R Sunstein co-authored with Richard Thaler,time interval,intermediate_question_different
872,What club did Dimitris Kourbelis play for prior to Panathinaikos?,When Dimitris Kourbelis played for Panathinaikos,time interval,When Dimitris Kourbelis joined Panathinaikos,time interval,intermediate_question_different
873,"At the Summer Olympics held in Stockholm, Sweden, which event did Manlio Di Rosa compete in during the Foil team event at the Melbourne Games?","When the Summer Olympics were held in Stockholm, Sweden",date,When Manlio Di Rosa competed in the Foil team event at the Melbourne Games,time interval,intermediate_question_and_answer_type_different
874,"Prior to Vichy France, what country controlled Marrakesh?",When Vichy France controlled Marrakesh,time interval,When Vichy France controlled Marrakesh,date,answer_type_different
875,In what sports season did Egan Bernal win the World Championships Vallnord Men's junior cross-country and the Clasica Juventudes Cajica and Sognando Il Giro delle Fiandre?,When Egan Bernal won the World Championships Vallnord Men's junior cross-country and the Clasica Juventudes Cajica and Sognando Il Giro delle Fiandre,date,When Egan Bernal won the World Championships Vallnord Men's junior cross-country and the Clasica Juventudes Cajica and Sognando Il Giro delle Fiandre?,time interval,intermediate_question_and_answer_type_different
878,In which area of London did Stuart Hazell claim that Tia Sharp had gone to buy shoes before her disappearance?,When Tia Sharp disappeared,date,When Tia Sharp went to buy shoes before her disappearance,date,intermediate_question_different
879,At which association football club did Kevin Londoño have a senior career before joining Hatta 10 (1)?,When Kevin Londoño joined Hatta,time interval,When Kevin Londoño joined Hatta 10 (1),time interval,intermediate_question_different
881,"Who was the chairperson of the Scottish National Party when its membership was 74,889?","When the Scottish National Party's membership was 74,889",date,"When the Scottish National Party's membership was 74,889",time interval,answer_type_different
883,"When The Simpsons was ranked as the second-greatest TV show of all time, which criterion was used, based on the number of episodes aired?",When The Simpsons was ranked as the second-greatest TV show of all time,date,When The Simpsons was ranked as the second-greatest TV show of all time,time interval,answer_type_different
885,"During the Papua Established war, what did the Netherlands do to formally transfer sovereignty to the United States of Indonesia?",When was the Papua Established war,time interval,When the Netherlands transferred sovereignty to the United States of Indonesia in Papua Established war,time interval,intermediate_question_different
886,"Before joining the Independent Smallholders, Agrarian Workers and Civic Party, what political party was Endre Bajcsy-Zsilinszky a member of?","When did Endre Bajcsy-Zsilinszky join the Independent Smallholders, Agrarian Workers and Civic Party",date,"When Endre Bajcsy-Zsilinszky joined the Independent Smallholders, Agrarian Workers and Civic Party",time interval,intermediate_question_and_answer_type_different
887,From which Roman Catholic metropolitan archdiocese was the Roman Catholic Diocese of Toowoomba established?,When was the Roman Catholic Diocese of Toowoomba established,date,When the Roman Catholic Diocese of Toowoomba was established,date,intermediate_question_different
888,"When Galina Prozumenshchikova won her first Olympic gold medal in the 200 m breaststroke, who was her rival who had previously set a world record in the 100 m breaststroke?",When did Galina Prozumenshchikova win her first Olympic gold medal in the 200 m breaststroke,date,When Galina Prozumenshchikova won her first Olympic gold medal in the 200 m breaststroke,date,intermediate_question_different
889,"When Joe Clark was the Leader of the Opposition, what leadership election was triggered by the budget defeat?",When was Joe Clark the Leader of the Opposition,time interval,When the budget was defeated triggering a leadership election for Joe Clark as Leader of the Opposition,date,intermediate_question_and_answer_type_different
891,Who was the Leicester City F.C. head coach when they won their first FA Cup title?,When did Leicester City F.C. win their first FA Cup title,date,When Leicester City F.C. won their first FA Cup title,time interval,intermediate_question_and_answer_type_different
892,"In which season did Tadanari Lee score 24 points for the Urawa Red Diamonds, winning the Emperor's Cup afterwards?",When did Tadanari Lee score 24 points for the Urawa Red Diamonds,date,When Tadanari Lee scored 24 points for the Urawa Red Diamonds,time interval,intermediate_question_and_answer_type_different
893,What football club was Edgar Davids managing before his resignation by mutual agreement?,When did Edgar Davids resign by mutual agreement,date,When Edgar Davids resigned from his managing position by mutual agreement,time interval,intermediate_question_and_answer_type_different
894,Who was the CEO of Sony Interactive Entertainment when it was established in San Mateo and managed through Sony's American branch Sony Corporation of America?,When was Sony Interactive Entertainment established in San Mateo,date,When Sony Interactive Entertainment was established in San Mateo and managed through Sony's American branch Sony Corporation of America,date,intermediate_question_different
895,At what association football club did Halil Akbunar begin his youth career before his international career with Turkey U19?,When did Halil Akbunar begin his youth career,date,When Halil Akbunar began his youth career,time interval,intermediate_question_and_answer_type_different
896,Who was the head of government in Augsburg when UNESCO recognized its Water Management System as a World Heritage Site?,When did UNESCO recognize Augsburg's Water Management System as a World Heritage Site,date,When UNESCO recognized Augsburg's Water Management System as a World Heritage Site,date,intermediate_question_different
897,What women's football team did Katie Taylor join after representing the Republic of Ireland women's national football team in the FAI Women's Cup final?,When did Katie Taylor represent the Republic of Ireland women's national football team in the FAI Women's Cup final,date,When Katie Taylor represented Republic of Ireland Women's national football team in the FAI Women's Cup final,time interval,intermediate_question_and_answer_type_different
898,What film distribution company released Team America World Police in the United States after its Denver Film Festival premiere?,When did Team America World Police premiere at the Denver Film Festival,date,When Team America World Police premiered at the Denver Film Festival,date,intermediate_question_different
899,Who was the chief executive officer of the University of Gothenburg before Gunnar Svedberg?,When was Gunnar Svedberg the chief executive officer of the University of Gothenburg,time interval,When Gunnar Svedberg became the chief executive officer of the University of Gothenburg,date,intermediate_question_and_answer_type_different
900,"To which dynasty did Prince Muhammad bin Talal belong after being born in Amman, Jordan?","When was Prince Muhammad bin Talal born in Amman, Jordan",date,"When Prince Muhammad bin Talal was born in Amman, Jordan",date,intermediate_question_different
901,What record label did Vicente Fernández belong to before receiving the Lo Nuestro Excellence Award?,When did Vicente Fernández receive the Lo Nuestro Excellence Award,date,When Vicente Fernández received the Lo Nuestro Excellence Award,time interval,intermediate_question_and_answer_type_different
902,In which shire of Scotland is Wigtown located after it became a Scottish civil parish?,When did Wigtown become a Scottish civil parish,date,When Wigtown became a Scottish civil parish,date,intermediate_question_different
903,What was Jocelyne Blouin doing prior to becoming a meteorologist and weather presenter?,When did Jocelyne Blouin become a meteorologist and weather presenter,date,When Jocelyne Blouin became a meteorologist and weather presenter,date,intermediate_question_different
904,Who succeeded Colin Barnett as the 27th Leader of the Opposition in Western Australia elections?,When was Colin Barnett the 27th Leader of the Opposition in Western Australia,time interval,When Colin Barnett resigned as the Leader of the Opposition in Western Australia elections,time interval,intermediate_question_different
905,Which commune in France does Blois share borders with while Marc Gricourt (PS) is mayor?,When was Marc Gricourt (PS) mayor of Blois,time interval,When Marc Gricourt (PS) became the mayor of Blois,date,intermediate_question_and_answer_type_different
906,"During the time of Sahar Khodayari setting herself on fire for attending a soccer game in Iran, what percent of Iranian American respondents felt negativley about their country's foreign policy?",When did Sahar Khodayari set herself on fire for attending a soccer game in Iran,date,When Sahar Khodayari set herself on fire for attending a soccer game in Iran,time interval,intermediate_question_and_answer_type_different
907,"During Jamal Mubarak's senior career, which association football club did Kuwait 107 (9) represent?",When was Jamal Mubarak's senior career,time interval,When Jamal Mubarak's senior career,time interval,intermediate_question_different
908,"After taking on several roles in the shadow cabinet, which ministry of education did Theresa May go on to cover?",When did Theresa May take on several roles in the shadow cabinet,time interval,When Theresa May took on several roles in the shadow cabinet,time interval,intermediate_question_different
909,"During Ravi Shankar Prasad's time as Union Cabinet Minister in the Government of India, which Ministry did he oversee as Minister of Electronics and Information Technology?",When was Ravi Shankar Prasad Union Cabinet Minister in the Government of India,time interval,When Ravi Shankar Prasad was Union Cabinet Minister in the Government of India,date,intermediate_question_and_answer_type_different
910,"What was the original name of the organization known today as the Pashtun Tahafuz Movement, which was founded by eight students in Dera Ismail Khan?",When was the Pashtun Tahafuz Movement founded by eight students in Dera Ismail Khan,date,When the Pashtun Tahafuz Movement was founded by eight students in Dera Ismail Khan,date,intermediate_question_different
911,Who was hosting Gardeners' World at the time of its original release?,When was Gardeners' World originally released,date,When Gardeners' World was released,date,intermediate_question_different
912,"During the Kingdom of Montenegro Kraljevina Crna Gora campaign, what event led to Serbia suspending Montenegro's sovereignty for the next 88 years?",When was the Kingdom of Montenegro Kraljevina Crna Gora campaign,time interval,When Serbia suspended Montenegro's sovereignty during the Kingdom of Montenegro Kraljevina Crna Gora campaign,date,intermediate_question_and_answer_type_different
913,For which literary award did George Carlin posthumously receive during his lifetime?,When did George Carlin receive a literary award posthumously,date,When George Carlin posthumously received a literary award,time interval,intermediate_question_and_answer_type_different
914,What treaty did Palau sign with the United States during Warner Bros. Records SP catalog release of Secrets/Big Bad Bill (Is Sweet William Now)?,When did Warner Bros. Records release the SP catalog of Secrets/Big Bad Bill (Is Sweet William Now),date,When Palau signed a treaty with the United States,date,intermediate_question_different
915,What was Justine Henin's result in the Wimbledon singles of the edition to the Team competitions Fed Cup W tournament?,When did Justine Henin participate in the Wimbledon singles of the edition to the Team competitions Fed Cup W tournament,date,When Justine Henin competed in the Wimbledon singles of the edition to the Team competitions Fed Cup W tournament,time interval,intermediate_question_and_answer_type_different
916,What class of award did Betty White receive for her appearance in which she earned the Screen Actors Guild Life Achievement Award?,When Betty White received the Screen Actors Guild Life Achievement Award,date,When Betty White earned the Screen Actors Guild Life Achievement Award,date,intermediate_question_different
917,"Before Landalsfjellet was located in the administrative territory of Vågsøy, who was the head of government in Vågsøy?",When Landalsfjellet was located in the administrative territory of Vågsøy,time interval,When Landalsfjellet was located in the administrative territory of Vågsøy,date,answer_type_different
918,"Who was Philippe, the Head of Vichy France, when they signed armistice terms with Italy during World War II?",When Vichy France signed armistice terms with Italy during World War II,date,"When Philippe, the Head of Vichy France, signed armistice terms with Italy during World War II",date,intermediate_question_different
919,"When was the Order of Friars Minor formed, and what have been its two main secessions since then?",When the Order of Friars Minor was formed,date,When was the Order of Friars Minor formed,date,intermediate_question_different
920,What was Jess Roskelley's age when he became the youngest American to reach the summit of Mount Everest?,When Jess Roskelley became the youngest American to reach the summit of Mount Everest,date,When Jess Roskelley became the youngest American to reach the summit of Mount Everest,time interval,answer_type_different
921,What Olympic sport was Ildikó Schwarczenberger competing in during the World Championships in Göteborg Individual?,When the World Championships in Göteborg Individual was held,date,When Ildikó Schwarczenberger competed in the World Championships in Göteborg Individual,time interval,intermediate_question_and_answer_type_different
922,"At the Summer Olympics, what type of demonstration was featured during the opening ceremony?",When the Summer Olympics opening ceremony featured a demonstration,date,When the Summer Olympic opening ceremony took place,time interval,intermediate_question_and_answer_type_different
927,"During Robert Lewandowski's time with Bayern Munich, which game did he score a brace in and help Bayern to win 3-0 in the DFB-Pokal Final?",When Robert Lewandowski was with Bayern Munich,time interval,When Robert Lewandowski scored a brace in a DFB-Pokal Final game and helped Bayern to win 3-0,date,intermediate_question_and_answer_type_different
929,What administrative territorial entity did Chengde belong to before it was part of Jehol Province in the Republic of China?,When Chengde was part of Jehol Province in the Republic of China,time interval,When Chengde became part of Jehol Province in the Republic of China,date,intermediate_question_and_answer_type_different
932,"During John Negroponte's tenure as Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs, what position did he hold?",When John Negroponte was Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs,time interval,When John Negroponte held the position of Assistant Secretary of State for Oceans and International Environmental and Scientific Affairs,date,intermediate_question_and_answer_type_different
934,What university did Jason Greenblatt attend prior to New York University School of Law?,When Jason Greenblatt attended New York University School of Law,time interval,When Jason Greenblatt attended New York University School of Law,date,answer_type_different
935,"After Bernardo Ribeiro's time at KF Skënderbeu Korçë, which football club did he join for his senior career?",When Bernardo Ribeiro was at KF Skënderbeu Korçë,time interval,When Bernardo Ribeiro left KF Skënderbeu Korçë,time interval,intermediate_question_different
937,Who was the mayor of Minneapolis during the time the Minneapolis area had a longitude of +148.841632?,When the Minneapolis area had a longitude of +148.841632,time interval,When Minneapolis area had a longitude of +148.841632,time interval,intermediate_question_different
938,Who was the 11th Army director/manager before Erich von Manstein?,When Erich von Manstein was the 11th Army director/manager,time interval,When Erich von Manstein became the 11th Army director/manager,date,intermediate_question_and_answer_type_different
940,"During Rosemary Casals' Grand Slam mixed doubles results in the Australian Open, which French Open singles tournament did she reach the quarterfinals in?",When Rosemary Casals had Grand Slam mixed doubles results in the Australian Open,time interval,When Rosemary Casals reached the quarterfinals in a French Open singles tournament,time interval,intermediate_question_different
941,In which edition of the Japan Open did Kei Nishikori come back from a set down to defeat Cilic in three tight sets?,When Kei Nishikori came back from a set down to defeat Cilic in three tight sets at the Japan Open,date,When Kei Nishikori defeated Cilic in a Japan Open match,date,intermediate_question_different
943,What artistic technique did Richard Hamilton practice when he was expelled from the Royal Academy Schools for not profiting from the instruction?,When Richard Hamilton was expelled from the Royal Academy Schools,date,When Richard Hamilton was expelled from the Royal Academy Schools,time interval,answer_type_different
945,Who was in command of the German submarine U-98 before Wilhelm Schulze took over?,When Wilhelm Schulze took over command of the German submarine U-98,date,When Wilhelm Schulze took command of the German submarine U-98,date,intermediate_question_different
946,"Who was Théophile Gautier's unmarried partner at the time of his death in Neuilly-sur-Seine, France at the age of 61?",When Théophile Gautier died,date,"When Théophile Gautier died at the age of 61 in Neuilly-sur-Seine, France",date,intermediate_question_different
